image_path,class,split
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/rice leaf/185.jpg,rice leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple rust/148.jpg,apple rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato yellow leaf curl virus/google_0103.jpg,tomato yellow leaf curl virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/grape downy mildew/272.jpg,grape downy mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/ginger leaf/google_0210.jpg,ginger leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/squash leaf/zgoogle_0086.jpg,squash leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber bacterial wilt/50.jpg,cucumber bacterial wilt,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple mosaic virus/google_0084.jpg,apple mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/lettuce mosaic virus/google_0017.jpg,lettuce mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/squash leaf/zgoogle_0006.jpg,squash leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/zucchini yellow mosaic virus/15.jpg,zucchini yellow mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/broccoli leaf/279.jpg,broccoli leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/grape leaf/157.jpg,grape leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cauliflower alternaria leaf spot/google_0028.jpg,cauliflower alternaria leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/grape downy mildew/85.jpg,grape downy mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bean halo blight/google_0103.jpg,bean halo blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cabbage leaf/google_0184.jpg,cabbage leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple leaf/111.jpg,maple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple leaf/72.jpg,apple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn rust/google_0107.jpg,corn rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn northern leaf blight/add (23).jpg,corn northern leaf blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/garlic leaf/177.jpg,garlic leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato leaf mold/google_0009.jpg,tomato leaf mold,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato mosaic virus/google_0046.jpg,tomato mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato leaf mold/google_0105.jpg,tomato leaf mold,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/celery anthracnose/google_0016 - Copy.jpg,celery anthracnose,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/eggplant cercospora leaf spot/google_0190.jpg,eggplant cercospora leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/google_0259.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn rust/google_0166.jpg,corn rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato late blight/google_0156.jpg,tomato late blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple leaf/211.jpg,apple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana panama disease/add_2 (9).jpg,banana panama disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/broccoli leaf/30.jpg,broccoli leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato leaf mold/77.jpg,tomato leaf mold,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana leaf/73.jpg,banana leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber bacterial wilt/google_0232.jpg,cucumber bacterial wilt,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/squash leaf/z250.jpg,squash leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn northern leaf blight/29.jpg,corn northern leaf blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bean leaf/165.jpg,bean leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/grape downy mildew/google_0136.jpg,grape downy mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/coffee leaf rust/google_0069.jpg,coffee leaf rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/blueberry leaf/4.jpg,blueberry leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple leaf/128.jpg,apple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana leaf/190.jpg,banana leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/grape downy mildew/google_0123.jpg,grape downy mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/google_0213.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus canker/161 - Copy.jpg,citrus canker,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/broccoli downy mildew/google_0048.jpg,broccoli downy mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple leaf/106.jpg,apple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato bacterial leaf spot/127.jpg,tomato bacterial leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bean halo blight/google_0136 - Copy.jpg,bean halo blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple rust/51 - Copy.jpg,apple rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber angular leaf spot/google_0131.jpg,cucumber angular leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/grape downy mildew/google_0458.jpg,grape downy mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/squash leaf/z112.jpg,squash leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil downy mildew/google_0064.jpg,basil downy mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple leaf/112.jpg,maple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/zucchini yellow mosaic virus/62.jpg,zucchini yellow mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/eggplant leaf/35.jpg,eggplant leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn smut/google_0341.jpg,corn smut,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/carrot cavity spot/google_0013.jpg,carrot cavity spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/raspberry leaf/54.jpg,raspberry leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/garlic leaf/417.jpg,garlic leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cauliflower leaf/117.jpg,cauliflower leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana panama disease/47 - Copy (2).jpg,banana panama disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana panama disease/google_0010 - Copy (2).jpg,banana panama disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bean leaf/128.jpg,bean leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/rice blast/google_0005.jpg,rice blast,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple rust/google_0135.jpg,apple rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn leaf/49.jpg,corn leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato septoria leaf spot/google_0233.jpg,tomato septoria leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple rust/41.jpg,apple rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/coffee leaf/google_0163.jpg,coffee leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/coffee leaf rust/google_0062.jpg,coffee leaf rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/eggplant cercospora leaf spot/1.jpg,eggplant cercospora leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple mosaic virus/36.jpg,apple mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/163.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/potato leaf/google_0641.jpg,potato leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/google_0364.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/plum leaf/google_0036.jpg,plum leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/broccoli leaf/google_0136.jpg,broccoli leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cabbage leaf/google_0050.jpg,cabbage leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana leaf/google_0227.jpg,banana leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/garlic leaf/google_0120.jpg,garlic leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/squash powdery mildew/google_0192.jpg,squash powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cherry leaf/google_0071.jpg,cherry leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/rice sheath blight/google_0091.jpg,rice sheath blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bean leaf/23.jpg,bean leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato bacterial leaf spot/google_0059.jpg,tomato bacterial leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/grape black rot/google_0093.jpg,grape black rot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cherry leaf/191.jpg,cherry leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bell pepper leaf/google_0201.jpg,bell pepper leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/garlic leaf/188.jpg,garlic leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato late blight/216.jpg,tomato late blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/peach leaf curl/google_0008.jpg,peach leaf curl,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana leaf/google_0004.jpg,banana leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato early blight/202.jpg,tomato early blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple scab/23.jpg,apple scab,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/potato leaf/32.jpg,potato leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn rust/google_0181.jpg,corn rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/ginger leaf/65.jpg,ginger leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/rice leaf/52.jpg,rice leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bean leaf/google_0031.jpg,bean leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/eggplant leaf/google_0253.jpg,eggplant leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/raspberry leaf/9.jpg,raspberry leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus canker/35.jpg,citrus canker,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber leaf/168.jpg,cucumber leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana panama disease/add_2 (66).jpg,banana panama disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/garlic rust/162.jpg,garlic rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber leaf/google_0229.jpg,cucumber leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/plum leaf/226.jpg,plum leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana leaf/google_0023.jpg,banana leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana leaf/google_0002.jpg,banana leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/coffee leaf/169.jpg,coffee leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana panama disease/addition (16).jpg,banana panama disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn smut/google_0032.jpg,corn smut,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple leaf/26.jpg,apple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus canker/21.jpg,citrus canker,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn gray leaf spot/1.jpg,corn gray leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/potato early blight/google_0070.jpg,potato early blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus greening disease/70.jpg,citrus greening disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple rust/google_0187.jpg,apple rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn smut/google_0074.jpg,corn smut,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber powdery mildew/179.jpg,cucumber powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple leaf/google_0022.jpg,maple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/potato leaf/google_0045.jpg,potato leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/strawberry leaf scorch/google_0017.jpg,strawberry leaf scorch,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/squash powdery mildew/google_0295.jpg,squash powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/squash leaf/google_0048.jpg,squash leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/plum pocket disease/google_0023.jpg,plum pocket disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/grape downy mildew/google_0115.jpg,grape downy mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn smut/40.jpg,corn smut,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber leaf/google_0227.jpg,cucumber leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cabbage leaf/546.jpg,cabbage leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/peach leaf curl/google_0049.jpg,peach leaf curl,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/grape downy mildew/188.jpg,grape downy mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/rice leaf/251.jpg,rice leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple tar spot/google_0205.jpg,maple tar spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/google_0090.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato late blight/google_0084.jpg,tomato late blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/rice sheath blight/google_0022.jpg,rice sheath blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/google_0114.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber leaf/43.jpg,cucumber leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/294.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple tar spot/google_0039.jpg,maple tar spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/coffee leaf rust/google_0269.jpg,coffee leaf rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana leaf/google_0098.jpg,banana leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/eggplant leaf/google_0251.jpg,eggplant leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato mosaic virus/google_0199.jpg,tomato mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn rust/google_0117.jpg,corn rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cherry leaf spot/google_0182.jpg,cherry leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/peach leaf curl/google_0286.jpg,peach leaf curl,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/google_0435.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple black rot/google_0148.jpg,apple black rot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/rice sheath blight/google_0139.jpg,rice sheath blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/peach leaf/google_0005.jpg,peach leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato mosaic virus/google_0007.jpg,tomato mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/squash leaf/279.jpg,squash leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn rust/google_0224.jpg,corn rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tobacco mosaic virus/213.jpg,tobacco mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/garlic leaf/google_0007.jpg,garlic leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/garlic leaf/44.jpg,garlic leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple scab/6.jpg,apple scab,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/squash powdery mildew/google_0104.jpg,squash powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/celery leaf/google_0051.jpg,celery leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/coffee leaf/34.jpg,coffee leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple leaf/google_0566.jpg,apple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cabbage leaf/293.jpg,cabbage leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn northern leaf blight/add (30).jpg,corn northern leaf blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn gray leaf spot/google_0079.jpg,corn gray leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana panama disease/addition (23).jpg,banana panama disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus canker/16.jpg,citrus canker,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber powdery mildew/70.jpg,cucumber powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/40.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus canker/187.jpg,citrus canker,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple leaf/google_0120.jpg,maple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple scab/google_0111.jpg,apple scab,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/squash powdery mildew/39.jpg,squash powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/squash powdery mildew/56.jpg,squash powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/blueberry leaf/52.jpg,blueberry leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/celery leaf/119.jpg,celery leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/blueberry leaf/google_0291.jpg,blueberry leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/garlic rust/156.jpg,garlic rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple scab/google_0223.jpg,apple scab,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/potato leaf/54.jpg,potato leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/squash powdery mildew/google_0041.jpg,squash powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/blueberry leaf/199.jpg,blueberry leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/ginger leaf/google_0023.jpg,ginger leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cauliflower leaf/133.jpg,cauliflower leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/potato leaf/google_0157.jpg,potato leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber leaf/61.jpg,cucumber leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple mosaic virus/google_0048.jpg,apple mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato leaf mold/226.jpg,tomato leaf mold,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/potato late blight/45 - Copy.jpg,potato late blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/ginger leaf spot/28.jpg,ginger leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cherry leaf spot/73.jpg,cherry leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cherry leaf/google_0282.jpg,cherry leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato early blight/google_0366.jpg,tomato early blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/squash powdery mildew/93.jpg,squash powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/rice sheath blight/49.jpg,rice sheath blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/broccoli leaf/google_0205.jpg,broccoli leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cherry leaf/google_0017.jpg,cherry leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato septoria leaf spot/google_0147.jpg,tomato septoria leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/potato leaf/17.jpg,potato leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/broccoli downy mildew/google_0037.jpg,broccoli downy mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple leaf/208.jpg,apple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/rice sheath blight/192.jpg,rice sheath blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato leaf/104.jpg,tomato leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/rice sheath blight/68.jpg,rice sheath blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/basil leaf/google_0384.jpg,basil leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/lettuce downy mildew/18.jpg,lettuce downy mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cabbage alternaria leaf spot/27 - Copy.jpg,cabbage alternaria leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple leaf/59.jpg,maple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/grapevine leafroll disease/32.jpg,grapevine leafroll disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/soybean leaf/google_0443.jpg,soybean leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato septoria leaf spot/google_0016.jpg,tomato septoria leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/plum pocket disease/google_0010.jpg,plum pocket disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cabbage leaf/google_0004.jpg,cabbage leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cauliflower alternaria leaf spot/google_0042.jpg,cauliflower alternaria leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus canker/google_0026.jpg,citrus canker,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/strawberry anthracnose/google_0027.jpg,strawberry anthracnose,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato early blight/google_0071.jpg,tomato early blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato leaf/150.jpg,tomato leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/celery leaf/google_0126.jpg,celery leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cabbage alternaria leaf spot/google_0010.jpg,cabbage alternaria leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn northern leaf blight/62.jpg,corn northern leaf blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/strawberry leaf/google_0506.jpg,strawberry leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/peach leaf/google_0057.jpg,peach leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/celery leaf/188.jpg,celery leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato septoria leaf spot/google_0089.jpg,tomato septoria leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple leaf/129.jpg,apple leaf,train
